,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,25,27.4,39.8,26,286,2340,26.0,24,16,40,22,2,3,59,1,25.4,23.0,18.9,41.9,342,600,0.92,0.62,1.54,0.85,1.46,0.98,0.73,1.70,0.88,1.61
vs Aston Villa,25,27.1,51.5,25,275,2250,25.0,34,20,54,31,3,4,48,2,37.5,34.4,25.6,60.0,417,891,1.36,0.80,2.16,1.24,2.04,1.50,1.03,2.53,1.37,2.40
vs Bournemouth,29,27.2,61.5,25,275,2250,25.0,48,32,80,42,6,6,37,0,42.6,37.9,28.6,66.5,533,1391,1.92,1.28,3.20,1.68,2.96,1.71,1.14,2.85,1.52,2.66
vs Brentford,25,27.2,56.3,23,253,2070,23.0,28,21,49,27,1,1,36,1,29.0,28.3,22.0,50.4,465,978,1.22,0.91,2.13,1.17,2.09,1.26,0.96,2.22,1.23,2.19
vs Brighton,25,27.4,40.9,23,253,2070,23.0,26,14,40,21,5,6,57,1,26.8,22.0,15.2,37.2,306,649,1.13,0.61,1.74,0.91,1.52,1.17,0.66,1.83,0.96,1.62
vs Chelsea,32,27.2,41.2,25,275,2250,25.0,23,16,39,23,0,0,48,0,30.8,30.8,24.3,55.0,386,799,0.92,0.64,1.56,0.92,1.56,1.23,0.97,2.20,1.23,2.20
vs Palace,24,27.3,55.7,25,275,2250,25.0,30,21,51,29,1,1,50,2,34.9,34.1,26.0,60.1,430,1143,1.20,0.84,2.04,1.16,2.00,1.40,1.04,2.44,1.36,2.40
vs Everton,28,27.2,55.3,26,286,2340,26.0,38,26,64,35,3,3,53,0,42.6,40.3,31.2,71.5,528,1147,1.46,1.00,2.46,1.35,2.35,1.64,1.20,2.84,1.55,2.75
vs Fulham,29,27.4,53.5,25,275,2250,25.0,31,19,50,28,3,3,35,5,40.4,38.6,30.2,68.7,372,946,1.24,0.76,2.00,1.12,1.88,1.62,1.21,2.82,1.54,2.75
vs Leeds,28,27.2,50.3,25,275,2250,25.0,39,24,63,37,2,2,49,1,36.6,35.1,28.5,63.6,375,890,1.56,0.96,2.52,1.48,2.44,1.47,1.14,2.60,1.41,2.54
vs Leicester,27,27.1,50.0,25,275,2250,25.0,39,29,68,37,2,3,40,1,41.1,38.9,31.8,70.7,445,1008,1.56,1.16,2.72,1.48,2.64,1.65,1.27,2.92,1.56,2.83
vs Liverpool,27,27.2,40.2,25,275,2250,25.0,26,18,44,24,2,3,39,1,33.7,31.6,25.0,56.7,325,786,1.04,0.72,1.76,0.96,1.68,1.35,1.00,2.35,1.27,2.27
vs City,22,27.4,35.8,26,286,2340,26.0,24,15,39,21,3,3,61,2,21.3,19.0,15.6,34.6,300,602,0.92,0.58,1.50,0.81,1.38,0.82,0.60,1.42,0.73,1.33
vs United,26,27.1,47.2,25,275,2250,25.0,34,23,57,33,1,1,35,0,31.4,30.6,23.0,53.6,448,900,1.36,0.92,2.28,1.32,2.24,1.25,0.92,2.17,1.22,2.14
vs Newcastle,26,27.5,49.0,24,264,2160,24.0,17,15,32,16,1,2,52,1,23.8,22.3,19.5,41.8,382,828,0.71,0.62,1.33,0.67,1.29,0.99,0.81,1.81,0.93,1.74
vs Forest,33,27.6,59.4,25,275,2250,25.0,44,31,75,41,3,6,44,0,39.8,35.3,28.3,63.6,537,1162,1.76,1.24,3.00,1.64,2.88,1.59,1.13,2.72,1.41,2.54
vs Southampton,31,27.4,56.2,25,275,2250,25.0,37,32,69,37,0,1,45,1,33.4,32.6,26.3,58.9,400,1118,1.48,1.28,2.76,1.48,2.76,1.33,1.05,2.39,1.30,2.35
vs Spurs,27,27.3,49.7,26,286,2340,26.0,35,25,60,34,1,1,57,1,29.7,28.9,21.3,50.2,444,993,1.35,0.96,2.31,1.31,2.27,1.14,0.82,1.96,1.11,1.93
vs West Ham,25,27.3,56.4,25,275,2250,25.0,32,25,57,29,3,4,39,0,30.0,26.8,21.7,48.5,509,1073,1.28,1.00,2.28,1.16,2.16,1.20,0.87,2.07,1.07,1.94
vs Wolves,31,27.1,50.7,26,286,2340,26.0,34,26,60,33,1,3,47,0,37.1,34.8,26.9,61.7,478,1091,1.31,1.00,2.31,1.27,2.27,1.43,1.04,2.46,1.34,2.37